tag,word
0,מאי
0,דביתהו
1,כנגד
1,לדבר
0,הכי
0,עביד
0,ומדכר
0,דא
0,לישתרי
0,קא
1,הריני
0,איקלעו
0,דהוה
2,שמינה
2,מן
1,אתם
0,מר
1,ואינו
1,שמשיאים
1,ויצא
0,ביה
2,ודאי
1,את
2,אמר
1,ועברו
2,תקון
1,קוטע
0,בתמניא
1,ושכן
0,ראמי
0,אפלו
0,נרימיה
2,בני
2,בני
2,הוא
1,הקדימוהו
1,עם
2,כהני
0,אמרינן
1,כיוצא
0,ליה
2,כי
0,ליה
1,והסגירו
0,ואכתי
0,אנן
1,שחיטה
0,שחטינן
0,מני
1,הקוטעים
1,ירדו
1,הרי
1,בארץ
1,נדבותם
1,מעיה
0,לן
1,אותן
2,אלא
2,משום
1,שנאמר
2,תמה
1,המכוה
1,ילדך
0,נפשיה
0,הני
1,קדה
2,לא
0,וחמשין
1,ובמשה
1,בנגעים
1,לחישת
0,האי
0,ליה
0,תנן
1,יושב
2,כי
1,דבורים
1,מותר
0,להו
0,הכא
1,פי
2,ולא
1,שמעון
0,וניזי
1,הגדלה
0,מיתו
0,שיתא
0,מוקמן
2,לא
0,פשיטא
1,ושתיו
1,אותו
1,וחולפות
0,אידי
2,או
1,שלא
0,סוכתא
0,הוה
0,סבר
1,את
0,הכי
1,שנאמר
2,מנה
2,וטען
0,דמעיקרא
1,ולה
1,מכיר
0,אריא
1,אליעזר
1,מת
1,היה
1,וכקרן
1,בתרומה
0,בדכיתנא
0,ידענא
1,והקהל
1,שמעון
1,ושור
1,בימינו
0,מרעי
1,ראו
1,עשה
1,נאמנין
2,די
0,דניהדרו
2,לא
2,לאו
1,בזבל
0,מפלגי
0,ליה
1,שכשעלו
0,דהוה
2,רבי
0,דיהבי
1,זכאי
0,בהדי הדדי
0,דלא
2,לה
1,אמרת
1,להקל
0,מנא
0,מאי
1,גמליאל
1,מותר
0,דאכלי
0,להו
0,רב
0,שארי
0,הוה
1,סבכות
0,גב
0,נשתי
0,ליה
1,ננס
0,ליה
1,אומר
1,עולין
1,רחל
1,בו
1,חוץ
1,ליה
2,ידה
2,עשרים
1,יותן
1,מקימעא
0,אילימא
1,את
0,דידיה
2,כהני
1,מפני
0,כל היכא
0,גברא
0,ואמינא
2,הוא
2,אמר
0,שוי
1,בית
1,בברית
1,נוחלין
1,וסלע
0,לן
0,בהדי הדדי
0,כמהכא
0,בעי
1,בית
1,בשבטו
1,במחנה
1,הנמדד
1,ויאמר
0,מאן
2,כי
0,קאמינא
1,אכלתי
0,תימא
1,לבן
1,העברים
1,כפרתך
1,סיקריקון
